product_id,product_category_name,purchase_year,reference_price,base_cost_ratio,cost_ratio_adjustment,final_cost_ratio,unit_product_cost
00066f42aeeb9f3007548bb9d3f33c38,perfumaria,2018,101.65,0.7434890121389909,0.0,0.7434890121389909,75.58
00088930e925c41fd95ebfe695fd2655,automotivo,2017,129.9,0.6597196099380132,0.0,0.6597196099380132,85.7
0009406fd7479715e4bef61dd91f2462,cama_mesa_banho,2017,229.0,0.7646494799778456,0.0,0.7646494799778456,175.1
000b8f95fcb9e0096488278317764d19,utilidades_domesticas,2018,58.9,0.724342007264841,0.0,0.724342007264841,42.66
000d9be29b5207b54e86aa1b1ac54872,relogios_presentes,2018,199.0,0.5735443369719124,0.1,0.6735443369719124,134.04
0011c512eb256aa0dbbb544d8dffcf6e,automotivo,2017,52.0,0.793905587909189,0.0,0.793905587909189,41.28
00126f27c813603687e6ce486d909d01,cool_stuff,2017,249.0,0.7402849254975883,0.0,0.7402849254975883,184.33
001795ec6f1b187d37335e1c4704762e,consoles_games,2017,38.9,0.7465160763192384,0.0,0.7465160763192384,29.04
001b237c0e9bb435f2e54071129237e9,cama_mesa_banho,2018,78.9,0.5820284081688865,0.0,0.5820284081688865,45.92
001b72dfd63e9833e8c02742adf472e3,moveis_decoracao,2017,34.99,0.6625964844738919,0.0,0.6625964844738919,23.18
001c5d71ac6ad696d22315953758fa04,cama_mesa_banho,2017,79.9,0.6426995060581453,0.0,0.6426995060581453,51.35
00210e41887c2a8ef9f791ebc780cc36,beleza_saude,2017,32.98,0.7816912472121504,0.0,0.7816912472121504,25.78
002159fe700ed3521f46cfcf6e941c76,fashion_calcados,2017,199.7,0.7109662800201662,0.0,0.7109662800201662,141.98
002159fe700ed3521f46cfcf6e941c76,fashion_calcados,2018,199.7,0.7109662800201662,0.0,0.7109662800201662,141.98
0021a87d4997a48b6cef1665602be0f5,informatica_acessorios,2017,29.0,0.7556904033177075,0.0,0.7556904033177075,21.92
00250175f79f584c14ab5cecd80553cd,utilidades_domesticas,2017,54.99,0.6608535497068329,0.0,0.6608535497068329,36.34
00250175f79f584c14ab5cecd80553cd,utilidades_domesticas,2018,79.99,0.6608535497068329,0.0,0.6608535497068329,52.86
002552c0663708129c0019cc97552d7d,cool_stuff,2018,108.0,0.6068096804461942,0.0,0.6068096804461942,65.54
002959d7a0b0990fe2d69988affcbc80,moveis_decoracao,2018,129.9,0.6886461967539588,0.0,0.6886461967539588,89.46
002af88741ba70c7b5cf4e4a0ad7ef85,cool_stuff,2017,39.0,0.5659543140260439,0.0,0.5659543140260439,22.07
002c6dab60557c48cfd6c2222ef7fd76,brinquedos,2018,79.9,0.7569077929981456,0.0,0.7569077929981456,60.48
002d4ea7c04739c130bb74d7e7cd1694,pet_shop,2018,43.0,0.7079160997805163,0.0,0.7079160997805163,30.44
002ec297b1b00fb9dde7ee6ac24b6771,utilidades_domesticas,2018,16.0,0.7395219350213436,0.0,0.7395219350213436,11.83
0030026a6ddb3b2d1d4bc225b4b4c4da,esporte_lazer,2017,39.9,0.6386314920324672,0.0,0.6386314920324672,25.48
0030e635639c898b323826589761cf23,ferramentas_jardim,2018,153.0,0.7926745060987259,0.0,0.7926745060987259,121.28
003128f981470c3e5a2e7445e4a771cd,esporte_lazer,2018,99.98,0.7732802803305494,0.07,0.8432802803305495,84.31
0036bb031e69d915cd384d1b3838b5d3,ferramentas_jardim,2017,35.99,0.7445958742684405,0.0,0.7445958742684405,26.8
003938452c98ff9ab28e9e7b4bfe97ab,moveis_sala,2018,179.9,0.5986596769629919,0.0,0.5986596769629919,107.7
003962cb74a8b43cf1034fed541a76f0,malas_acessorios,2017,94.9,0.6666802509317586,0.0,0.6666802509317586,63.27
003a31970fea14fffe92ac856b8a9b97,casa_construcao,2018,222.0,0.5609509414468072,0.0,0.5609509414468072,124.53
003c0b8f6580c850bd2e32044d2ac307,moveis_cozinha_area_de_servico_jantar_e_jardim,2017,449.0,0.588572373016887,0.0,0.588572373016887,264.27
003dbcabcf8e3231de657c7d9f9a5eba,esporte_lazer,2017,36.0,0.7207622383106137,0.0,0.7207622383106137,25.95
004154251837f6ac124ad4374b3a8148,moveis_decoracao,2017,14.9,0.7361905389769543,0.0,0.7361905389769543,10.97
0042f1a9a7e0edd1400c6cd0fda065f8,beleza_saude,2018,39.9,0.7918774331085525,0.08,0.8718774331085525,34.79
0043c62d00db47eff6a6bc4cf6bfaeda,esporte_lazer,2018,527.99,0.6314563395345381,0.07,0.7014563395345381,370.36
0043d1a25ef08fb6f41b8fa6f91742ab,construcao_ferramentas_construcao,2017,390.0,0.6426149265087173,0.0,0.6426149265087173,250.62
0044d70d4e53450c0fbb8255446a797b,esporte_lazer,2018,19.25,0.667388952818952,0.07,0.7373889528189521,14.19
004552d98c5d3653af8b4dbe8def0048,moveis_decoracao,2017,349.9,0.5973678397710714,0.0,0.5973678397710714,209.02
004636c889c7c3dad6631f136b7fa082,utilidades_domesticas,2018,49.0,0.582480376333868,0.0,0.582480376333868,28.54
004ffcbfa5aac82212a95bc972ea8a85,moveis_quarto,2017,229.0,0.6689262315564835,0.0,0.6689262315564835,153.18
005030ef108f58b46b78116f754d8d38,perfumaria,2017,13.99,0.6067273372627211,0.0,0.6067273372627211,8.49
005030ef108f58b46b78116f754d8d38,perfumaria,2018,13.99,0.6067273372627211,0.0,0.6067273372627211,8.49
005c6b24cc96dca3e2c01e824401030e,fashion_roupa_masculina,2018,43.5,0.7174534986706276,0.0,0.7174534986706276,31.21
0060b415594c5e1200324ef1a18493c4,esporte_lazer,2017,69.99,0.6592879797180827,0.0,0.6592879797180827,46.14
00636f9286f69c9f1bdabe76e670fb50,moveis_decoracao,2017,27.9,0.7581695490144594,0.0,0.7581695490144594,21.15
006508eabcc19ae52ed87323124ad0e9,construcao_ferramentas_seguranca,2018,34.89,0.7250662755005624,0.0,0.7250662755005624,25.3
006619bbed68b000c8ba3f8725d5409e,beleza_saude,2018,68.5,0.6280916603455103,0.08,0.7080916603455103,48.5
0067f97995b0c3a86739734dc87ee6b6,fashion_bolsas_e_acessorios,2017,79.0,0.7580649503488003,0.0,0.7580649503488003,59.89
006baa9a5b8f95895f15273a35bc2664,esporte_lazer,2017,99.9,0.7511910893742005,0.0,0.7511910893742005,75.04
006baa9a5b8f95895f15273a35bc2664,esporte_lazer,2018,99.9,0.7511910893742005,0.07,0.8211910893742005,82.04
006c67546bfe73c33b83f6bd1ad58c36,automotivo,2018,59.9,0.6468695947575437,0.0,0.6468695947575437,38.75
00716e5593e8eea55dbe7a29b72a70bc,fraldas_higiene,2018,37.0,0.622082025982561,0.0,0.622082025982561,23.02
00738f5a17ec4450e88915357b085c1e,brinquedos,2017,23.9,0.7206238759937439,0.0,0.7206238759937439,17.22
